[GIN] 2022/07/14 - 11:50:04 | 200 |    2.247977ms |       127.0.0.1 | GET      "/"
[GIN] 2022/07/14 - 11:50:05 | 200 |   12.361312ms |       127.0.0.1 | GET      "/static/css/style.css"
[GIN] 2022/07/14 - 11:50:05 | 200 |     314.245µs |       127.0.0.1 | GET      "/static/css/courses.css"
[GIN] 2022/07/14 - 11:50:05 | 200 |     368.726µs |       127.0.0.1 | GET      "/static/css/bootstrap.min.css"
[GIN] 2022/07/14 - 11:50:05 | 200 |      65.084µs |       127.0.0.1 | GET      "/static/css/form-240.css"
[GIN] 2022/07/14 - 11:50:05 | 200 |      35.167µs |       127.0.0.1 | GET      "/static/css/font.css"
[GIN] 2022/07/14 - 11:50:05 | 200 |      39.794µs |       127.0.0.1 | GET      "/static/css/carousel.css"
[GIN] 2022/07/14 - 11:50:05 | 200 |      57.574µs |       127.0.0.1 | GET      "/static/js/carousel.js"
[GIN] 2022/07/14 - 11:50:05 | 200 |      47.718µs |       127.0.0.1 | GET      "/static/js/comment.js"
[GIN] 2022/07/14 - 11:50:05 | 200 |      219.78µs |       127.0.0.1 | GET      "/static/js/bootstrap.bundle.min.js"
[GIN] 2022/07/14 - 11:50:05 | 200 |     318.588µs |       127.0.0.1 | GET      "/static/css/img/first.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     258.954µs |       127.0.0.1 | GET      "/static/css/img/second.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     219.176µs |       127.0.0.1 | GET      "/static/css/img/third.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     258.303µs |       127.0.0.1 | GET      "/static/css/img/repnikov.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     394.571µs |       127.0.0.1 | GET      "/static/css/img/ikapitalist.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     376.134µs |       127.0.0.1 | GET      "/static/css/img/spf.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     221.425µs |       127.0.0.1 | GET      "/static/css/img/proportunity.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     373.093µs |       127.0.0.1 | GET      "/static/css/img/z_logo3_1.svg"
[GIN] 2022/07/14 - 11:50:05 | 200 |     401.896µs |       127.0.0.1 | GET      "/static/css/img/consultation_banner_1x1.jpg"
[GIN] 2022/07/14 - 11:50:05 | 200 |     404.922µs |       127.0.0.1 | GET      "/static/css/img/notification.jpg"
[GIN] 2022/07/14 - 11:50:05 | 200 |     371.537µs |       127.0.0.1 | GET      "/static/css/img/course.jpg"
[GIN] 2022/07/14 - 11:50:05 | 200 |      259.25µs |       127.0.0.1 | GET      "/static/css/img/repnikova.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     450.617µs |       127.0.0.1 | GET      "/static/css/img/taxreturn.jpg"
[GIN] 2022/07/14 - 11:50:05 | 200 |     258.717µs |       127.0.0.1 | GET      "/static/css/img/aie.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     370.479µs |       127.0.0.1 | GET      "/static/css/img/database.jpg"
[GIN] 2022/07/14 - 11:50:05 | 200 |     254.819µs |       127.0.0.1 | GET      "/static/css/img/freedom.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     786.378µs |       127.0.0.1 | GET      "/static/css/img/logo0-0bg.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |     298.233µs |       127.0.0.1 | GET      "/static/css/img/quantdart.png"
[GIN] 2022/07/14 - 11:50:05 | 200 |      537.91µs |       127.0.0.1 | GET      "/static/css/img/counttaxbasebroker_banner_1x1.jpg"
[GIN] 2022/07/14 - 11:50:05 | 304 |     141.652µs |       127.0.0.1 | GET      "/static/css/courses.css"
[GIN] 2022/07/14 - 11:50:05 | 200 |     208.938µs |       127.0.0.1 | GET      "/static/css/FuturaPT-Light.ttf"
[GIN] 2022/07/14 - 11:50:06 | 206 |  172.535393ms |       127.0.0.1 | GET      "/static/css/img/background.mp4"
[GIN] 2022/07/14 - 11:50:06 | 200 |     175.504µs |       127.0.0.1 | GET      "/static/css/img/favicon.ico"
[GIN] 2022/07/14 - 11:50:36 | 200 |    1.316471ms |       127.0.0.1 | GET      "/knowledgebase"
[GIN] 2022/07/14 - 11:50:41 | 303 |      30.887µs |       127.0.0.1 | GET      "/article/create"
[GIN] 2022/07/14 - 11:50:41 | 200 |     400.025µs |       127.0.0.1 | GET      "/user/signin"
[GIN] 2022/07/14 - 11:50:41 | 404 |       5.057µs |       127.0.0.1 | GET      "/user/static/css/img/logo0-0bg.png"
[GIN] 2022/07/14 - 11:50:41 | 200 |      333.69µs |       127.0.0.1 | GET      "/static/js/user.js"
[GIN] 2022/07/14 - 11:50:41 | 404 |      34.522µs |       127.0.0.1 | GET      "/user/static/css/img/z_logo3_1.svg"
[GIN] 2022/07/14 - 11:50:41 | 404 |       3.756µs |       127.0.0.1 | GET      "/user/static/css/img/logo0-0bg.png"
[GIN] 2022/07/14 - 11:50:41 | 404 |        1.46µs |       127.0.0.1 | GET      "/user/static/css/img/z_logo3_1.svg"
